NOW,"ServiceNow, Inc.",105.35B,102.15,-0.90%,13.96B
ACN,Accenture plc,104.54B,170.28,1.65%,72.11B
EQIX,"Equinix, Inc.",104.13B,"1,055.85",1.21%,9.53B
MDT,Medtronic plc,102.97B,80.20,-0.16%,36.36B
TT,Trane Technologies plc,101.30B,458.25,-0.41%,21.60B
BNY,The Bank of New York Mellon Corporation,98.82B,143.98,1.33%,20.75B
FCX,Freeport-McMoRan Inc.,98.34B,68.41,3.12%,26.42B
CME,CME Group Inc.,97.67B,269.53,2.80%,6.74B
DUK,Duke Energy Corporation,97.43B,124.97,0.63%,32.72B
GD,General Dynamics Corporation,97.27B,360.22,0.38%,53.81B
PNC,"The PNC Financial Services Group, Inc.",95.44B,237.66,1.59%,23.04B
MCK,McKesson Corporation,94.25B,784.05,-0.40%,403.43B
UPS,"United Parcel Service, Inc.",91.89B,108.10,-0.51%,88.32B
USB,U.S. Bancorp,91.81B,58.94,2.27%,26.65B
CMI,Cummins Inc.,91.01B,659.58,0.59%,33.89B
MNST,Monster Beverage Corporation,90.79B,92.83,0.87%,8.79B
CEG,Constellation Energy Corporation,90.62B,253.76,2.86%,29.87B
ADP,"Automatic Data Processing, Inc.",90.42B,226.21,0.96%,21.60B
JCI,Johnson Controls International plc,88.44B,144.96,0.66%,24.43B
CSX,CSX Corporation,88.39B,47.57,0.43%,14.15B
WMB,"The Williams Companies, Inc.",88.15B,72.08,0.64%,12.11B
WM,"Waste Management, Inc.",88.13B,219.45,0.30%,25.41B
ELV,"Elevance Health, Inc.",87.75B,404.07,1.23%,200.42B
CMCSA,Comcast Corporation,87.52B,24.50,2.21%,125.28B
AMT,American Tower Corporation,87.21B,187.18,-1.13%,10.82B
SNPS,"Synopsys, Inc.",86.91B,453.89,-0.53%,8.68B
KKR,KKR & Co. Inc.,86.41B,96.24,0.99%,25.35B
HCA,"HCA Healthcare, Inc.",85.89B,387.18,2.29%,76.39B
SLB,SLB N.V.,83.99B,56.18,0.32%,35.94B
HOOD,"Robinhood Markets, Inc.",83.92B,93.19,1.04%,4.61B
SPG,"Simon Property Group, Inc.",83.31B,219.04,1.95%,6.65B
MMM,3M Company,82.57B,158.32,0.26%,25.02B
ADBE,Adobe Inc.,82.46B,204.02,-6.76%,25.20B
DDOG,"Datadog, Inc.",81.84B,229.90,-1.85%,3.67B
MRSH,"Marsh & McLennan Companies, Inc.",81.49B,168.68,0.32%,27.52B
MDLZ,"Mondelez International, Inc.",80.86B,62.99,-0.58%,39.30B
FDX,FedEx Corporation,80.72B,338.31,0.09%,91.93B
EMR,Emerson Electric Co.,80.13B,143.07,0.69%,18.32B
ICE,"Intercontinental Exchange, Inc.",79.60B,140.53,1.12%,10.44B
RCL,Royal Caribbean Cruises Ltd.,78.95B,294.38,2.23%,18.39B
CI,The Cigna Group,78.83B,298.00,1.07%,277.89B
HLT,Hilton Worldwide Holdings Inc.,78.75B,345.95,1.20%,5.07B
ABNB,"Airbnb, Inc.",78.51B,132.28,1.08%,12.65B
MCO,Moody's Corporation,78.23B,447.85,1.36%,7.87B
NOC,Northrop Grumman Corporation,78.17B,550.33,-0.40%,42.37B
SHW,The Sherwin-Williams Company,77.80B,317.30,0.13%,23.94B
MPWR,"Monolithic Power Systems, Inc.",77.49B,"1,577.32",-0.77%,2.96B
APO,"Apollo Global Management, Inc.",77.18B,133.88,-0.02%,31.29B
ROST,"Ross Stores, Inc.",77.03B,240.13,0.43%,23.78B
NXPI,NXP Semiconductors N.V.,76.97B,304.86,0.76%,12.62B
MPC,Marathon Petroleum Corporation,76.95B,263.58,1.06%,135.95B
VLO,Valero Energy Corporation,76.81B,258.67,1.20%,117.84B
INTU,Intuit Inc.,75.70B,276.73,-0.07%,20.93B
ORLY,"O'Reilly Automotive, Inc.",75.43B,91.02,1.02%,18.21B
COHR,Coherent Corp.,75.33B,385.03,5.90%,6.60B
ECL,Ecolab Inc.,74.70B,265.41,0.68%,16.45B
ITW,Illinois Tool Works Inc.,74.06B,257.43,1.17%,16.22B
GM,General Motors Company,73.49B,81.50,0.80%,184.62B
EOG,"EOG Resources, Inc.",72.78B,136.65,0.09%,23.57B
PSX,Phillips 66,71.95B,179.45,0.76%,134.49B
LITE,Lumentum Holdings Inc.,71.70B,921.56,3.59%,2.49B
AON,Aon plc,71.61B,335.31,0.04%,17.49B
CL,Colgate-Palmolive Company,71.58B,89.45,0.07%,20.80B
CRH,CRH plc,71.15B,106.48,1.57%,38.06B
KMI,"Kinder Morgan, Inc.",71.06B,31.94,1.85%,17.52B
CVNA,Carvana Co.,70.75B,64.10,-5.49%,22.52B
CTAS,Cintas Corporation,70.53B,176.28,-3.08%,11.03B
NSC,Norfolk Southern Corporation,70.50B,313.91,1.09%,12.19B
AEP,"American Electric Power Company, Inc.",70.31B,129.23,0.58%,22.43B
TDG,TransDigm Group Incorporated,70.26B,"1,256.05",-0.12%,9.50B
